open,high,low,close,volume,date
3432.024,3467.828,3376.084,3448.281,10058066900.0,2007-04-25
3465.112,3493.909,3438.879,3493.581,7899769000.0,2007-04-26
3499.941,3503.885,3436.002,3470.523,8069863600.0,2007-04-27
3487.358,3568.684,3478.928,3558.709,9430286400.0,2007-04-30
3643.813,3699.367,3618.782,3686.03,10678873200.0,2007-05-08
3699.296,3717.34,3556.615,3701.277,14064835800.0,2007-05-09
3703.525,3742.231,3671.813,3724.51,11541992200.0,2007-05-10
3696.294,3715.366,3629.713,3702.612,8896176100.0,2007-05-11
3648.269,3769.159,3620.861,3734.42,9109804900.0,2007-05-14
3739.049,3751.642,3600.207,3604.636,9357856800.0,2007-05-15
3597.997,3700.646,3557.198,3700.287,8622926800.0,2007-05-16
3716.438,3794.16,3705.275,3778.605,9025647800.0,2007-05-17
3771.271,3805.208,3746.242,3776.629,8241889800.0,2007-05-18
3650.803,3843.837,3643.076,3831.443,9847865000.0,2007-05-21
3849.043,3893.192,3849.043,3870.489,10961818400.0,2007-05-22
3879.759,3939.492,3853.908,3938.945,9852317100.0,2007-05-23
3953.887,3972.584,3858.513,3919.748,11381426400.0,2007-05-24
3907.73,3996.853,3888.308,3985.252,9541661500.0,2007-05-25
4033.921,4091.935,4027.363,4072.578,11404185100.0,2007-05-28
4090.903,4168.529,4079.868,4168.289,11326722700.0,2007-05-29
3906.041,4104.2,3849.701,3886.459,13273914000.0,2007-05-30
3828.916,3991.73,3683.562,3927.952,12607824800.0,2007-05-31
3953.1,4014.153,3780.029,3803.954,11993793900.0,2007-06-01
3804.958,3822.409,3503.939,3511.431,9053101900.0,2007-06-04
3406.999,3635.153,3246.733,3634.633,11376803800.0,2007-06-05
3652.893,3712.528,3550.737,3677.58,9595151000.0,2007-06-06
3694.55,3802.304,3684.459,3802.304,9419058100.0,2007-06-07
3814.185,3861.206,3769.151,3837.867,8907474200.0,2007-06-08
3876.067,3937.793,3870.234,3931.862,9098227700.0,2007-06-11
3953.959,4036.355,3834.018,4036.109,9938977400.0,2007-06-12
4071.735,4146.522,4064.146,4118.268,10945294500.0,2007-06-13
4103.523,4132.004,4022.78,4075.821,8660918000.0,2007-06-14
4043.111,4115.725,4025.1,4099.381,6877960000.0,2007-06-15
4178.762,4246.4,4177.19,4227.569,8787291300.0,2007-06-18
4227.592,4254.715,4186.176,4253.0,8154047100.0,2007-06-19
4268.655,4292.198,4138.331,4157.599,8686301500.0,2007-06-20
4140.693,4208.872,4110.959,4197.28,7373947100.0,2007-06-21
4203.134,4220.923,3970.346,4051.426,7955237400.0,2007-06-22
4066.453,4105.986,3850.84,3877.59,7003104400.0,2007-06-25
3804.413,3929.371,3752.926,3928.213,5888511400.0,2007-06-26
3946.876,4053.413,3912.199,4040.484,6529052000.0,2007-06-27
4038.378,4067.811,3857.848,3858.522,6685798000.0,2007-06-28
3769.331,3867.748,3718.161,3764.078,5892087000.0,2007-06-29
3746.175,3801.904,3644.187,3757.655,4974731000.0,2007-07-02
3782.778,3835.289,3744.015,3832.227,4640912600.0,2007-07-03
3840.412,3848.076,3727.562,3743.582,3823371600.0,2007-07-04
3688.312,3706.597,3535.042,3537.435,4322552700.0,2007-07-05
3517.599,3712.742,3475.271,3710.283,5136651200.0,2007-07-06
3743.869,3840.988,3722.231,3821.302,5407311300.0,2007-07-09
3832.756,3852.933,3764.249,3775.621,5190786800.0,2007-07-10
3751.489,3797.811,3732.294,3789.874,3362890700.0,2007-07-11
3799.185,3839.206,3780.028,3816.921,3136811900.0,2007-07-12
3825.033,3829.679,3773.929,3820.124,2689324200.0,2007-07-13
3824.911,3830.372,3697.217,3697.966,2993185700.0,2007-07-16
3684.335,3812.253,3650.253,3789.651,3255385000.0,2007-07-17
3776.94,3861.509,3756.704,3807.574,4597582300.0,2007-07-18
3796.915,3836.385,3778.509,3806.997,3025846700.0,2007-07-19
3808.082,3971.892,3808.082,3971.884,5527112100.0,2007-07-20
4009.063,4157.392,4009.063,4156.723,8527618600.0,2007-07-23
4187.327,4241.581,4143.588,4161.352,7609073500.0,2007-07-24
4163.364,4256.054,4163.348,4255.463,6459776600.0,2007-07-25
4282.676,4325.931,4244.079,4303.185,6549024300.0,2007-07-26
4277.551,4318.343,4225.029,4307.143,6502110900.0,2007-07-27
4305.178,4426.307,4303.732,4410.297,7544158300.0,2007-07-30
4402.518,4467.647,4359.592,4460.564,7137504200.0,2007-07-31
4479.299,4496.249,4271.055,4290.477,7936166500.0,2007-08-01
4311.599,4449.402,4303.975,4436.192,6288753800.0,2007-08-02
