date,future,index
2018-08-07,3358.8,3368.87
2018-08-08,3304.8,3314.508
2018-08-09,3386.0,3397.53
2018-08-10,3397.0,3405.019
2018-08-13,3382.2,3390.344
2018-08-14,3369.6,3372.914
2018-08-15,3284.4,3291.976
2018-08-16,3271.4,3276.728
2018-08-17,3202.2,3229.62
2018-08-20,3251.0,3267.25
2018-08-21,3301.0,3326.649
2018-08-22,3300.2,3307.955
2018-08-23,3302.2,3320.026
2018-08-24,3309.8,3325.335
2018-08-27,3397.8,3406.574
2018-08-28,3387.0,3400.171
2018-08-29,3379.8,3386.574
2018-08-30,3343.0,3351.094
2018-08-31,3321.2,3334.504
2018-09-03,3310.4,3321.825
2018-09-04,3357.2,3363.898
2018-09-05,3277.8,3298.141
2018-09-06,3248.6,3262.881
2018-09-07,3273.2,3277.644
2018-09-10,3227.0,3230.068
2018-09-11,3219.0,3224.212
2018-09-12,3196.4,3202.025
2018-09-13,3238.4,3236.566
2018-09-14,3240.6,3242.09
2018-09-17,3207.2,3204.922
2018-09-18,3273.4,3269.432
2018-09-19,3311.0,3312.482
2018-09-20,3315.0,3310.126
2018-09-21,3428.2,3410.486
2018-09-25,3389.2,3379.804
2018-09-26,3422.2,3417.241
2018-09-27,3415.8,3403.59
2018-09-28,3448.8,3438.865
2018-10-08,3288.8,3290.899
2018-10-09,3287.0,3288.691
2018-10-10,3289.0,3281.598
2018-10-11,3106.8,3124.114
2018-10-12,3169.0,3170.726
2018-10-15,3122.4,3126.452
2018-10-16,3110.2,3100.974
2018-10-17,3121.0,3118.246
2018-10-18,3048.0,3044.392
2018-10-19,3108.2,3134.946
2018-10-22,3288.4,3270.273
2018-10-23,3180.2,3183.426
2018-10-24,3186.2,3188.202
2018-10-25,3203.6,3194.308
2018-10-26,3165.8,3173.635
2018-10-29,3077.0,3076.889
2018-10-30,3113.0,3110.261
2018-10-31,3151.0,3153.823
2018-11-01,3174.6,3177.034
2018-11-02,3306.6,3290.246
2018-11-05,3262.6,3262.835
2018-11-06,3245.0,3243.15
2018-11-07,3214.4,3221.91
2018-11-08,3215.2,3212.774
2018-11-09,3169.8,3167.444
2018-11-12,3204.0,3205.141
2018-11-13,3237.2,3237.382
2018-11-14,3204.4,3204.943
2018-11-15,3241.2,3242.372
2018-11-16,3259.8,3257.674
2018-11-19,3296.4,3294.603
2018-11-20,3223.4,3218.408
2018-11-21,3222.0,3226.492
2018-11-22,3212.0,3214.427
2018-11-23,3136.2,3143.475
2018-11-26,3130.4,3141.243
2018-11-27,3126.6,3137.241
2018-11-28,3171.4,3178.933
2018-11-29,3138.6,3137.654
2018-11-30,3168.0,3172.69
2018-12-03,3259.2,3260.95
2018-12-04,3270.0,3267.71
2018-12-05,3253.8,3252.004
2018-12-06,3187.8,3181.673
2018-12-07,3179.6,3181.565
2018-12-10,3148.6,3144.763
2018-12-11,3164.6,3159.816
2018-12-12,3172.4,3170.609
2018-12-13,3222.8,3219.692
2018-12-14,3169.4,3165.911
2018-12-17,3167.8,3161.197
2018-12-18,3128.4,3128.427
2018-12-19,3091.8,3091.126
2018-12-20,3073.2,3067.417
2018-12-21,3034.2,3029.395
2018-12-24,3037.0,3038.198
2018-12-25,3018.0,3017.282
2018-12-26,3005.0,3002.033
2018-12-27,2995.8,2990.506
2018-12-28,2996.0,3010.654
2019-01-02,2962.2,2969.535
2019-01-03,2962.6,2964.842
2019-01-04,3041.4,3035.874
2019-01-07,3047.2,3054.303
2019-01-08,3050.6,3047.704
2019-01-09,3072.0,3078.476
2019-01-10,3075.6,3072.686
2019-01-11,3099.2,3094.778
2019-01-14,3070.8,3067.785
2019-01-15,3130.0,3127.99
2019-01-16,3129.4,3128.652
2019-01-17,3114.6,3111.417
2019-01-18,3158.2,3168.174
2019-01-21,3186.6,3185.636
2019-01-22,3147.2,3143.317
2019-01-23,3138.4,3141.053
2019-01-24,3164.4,3158.782
2019-01-25,3188.8,3184.47
2019-01-28,3185.2,3183.778
2019-01-29,3200.0,3193.97
2019-01-30,3178.6,3168.483
2019-01-31,3207.4,3201.633
2019-02-01,3261.4,3247.397
