back_test_date,cal_beta_date,sto_call_number,hold_period,Margin_ratio,beta,Hedge_return,PF_retrun,Future_return
70,80,200000,10,0.1,0.4872272886833867,-14878.276845368991,-8857.14285714282,-6021.13398822617
70,80,200000,15,0.1,0.4872272886833867,-4702.421744086077,-12000.000000000011,7297.578255913933
70,80,200000,20,0.1,0.4872272886833867,-2336.8432820254116,-14666.66666666671,12329.823384641297
70,90,200000,5,0.1,0.456110383524511,-5059.460600826256,-8285.714285714286,3226.253684888031
70,90,200000,10,0.1,0.456110383524511,-14493.735462707915,-8857.14285714282,-5636.5926055650925
70,90,200000,15,0.1,0.456110383524511,-5168.483591919703,-12000.000000000011,6831.516408080308
70,90,200000,20,0.1,0.456110383524511,-3124.2908527933273,-14666.66666666671,11542.375813873383
70,100,200000,5,0.1,0.4159066850401378,-5343.837661876801,-8285.714285714286,2941.8766238374874
70,100,200000,10,0.1,0.4159066850401378,-13996.899876895806,-8857.14285714282,-5139.757019752985
70,100,200000,15,0.1,0.4159066850401378,-5770.645340001787,-12000.000000000011,6229.354659998223
70,100,200000,20,0.1,0.4159066850401378,-4141.689740817877,-14666.66666666671,10524.976925848832
70,110,200000,5,0.1,0.4030160965542117,-5435.0180210734625,-8285.714285714286,2850.6962646408233
70,110,200000,10,0.1,0.4030160965542117,-13837.598535892133,-8857.14285714282,-4980.455678749312
70,110,200000,15,0.1,0.4030160965542117,-5963.717609198839,-12000.000000000011,6036.2823908011715
70,110,200000,20,0.1,0.4030160965542117,-4467.900285767138,-14666.66666666671,10198.766380899571
70,120,200000,5,0.1,0.4055723000533875,-5416.936957242356,-8285.714285714286,2868.777328471932
70,120,200000,10,0.1,0.4055723000533875,-13869.187989371438,-8857.14285714282,-5012.045132228615
70,120,200000,15,0.1,0.4055723000533875,-5925.431381176422,-12000.000000000011,6074.568618823589
70,120,200000,20,0.1,0.4055723000533875,-4403.212739703765,-14666.66666666671,10263.453926962946
70,130,200000,5,0.1,0.43392831835515616,-5216.363342083871,-8285.714285714286,3069.350943630416
70,130,200000,10,0.1,0.43392831835515616,-14219.610450372978,-8857.14285714282,-5362.46759323016
70,130,200000,15,0.1,0.43392831835515616,-5500.7214616182155,-12000.000000000011,6499.278538381795
70,130,200000,20,0.1,0.43392831835515616,-3685.6324528991404,-14666.66666666671,10981.034213767569
70,140,200000,5,0.1,0.45369302423245617,-5076.559563282282,-8285.714285714286,3209.154722432002
70,140,200000,10,0.1,0.45369302423245617,-14463.861839999965,-8857.14285714282,-5606.718982857143
70,140,200000,15,0.1,0.45369302423245617,-5204.690243345369,-12000.000000000011,6795.309756654642
70,140,200000,20,0.1,0.45369302423245617,-3185.464793211979,-14666.66666666671,11481.201873454731
70,150,200000,5,0.1,0.4437949990796318,-5146.572308608654,-8285.714285714286,3139.141977105633
70,150,200000,10,0.1,0.4437949990796318,-14341.542468634218,-8857.14285714282,-5484.399611491398
70,150,200000,15,0.1,0.4437949990796318,-5352.940587300709,-12000.000000000011,6647.059412699301
