,date,open,high,low,close,volume,return_rate
371,2018-07-27,3533.0,3541.8,3505.0,3520.0,20261,-0.0014184397163120568
372,2018-07-30,3521.0,3548.6,3486.8,3503.2,22837,-0.004772727272727324
373,2018-07-31,3501.6,3532.6,3490.8,3512.6,20842,0.0026832610184974
374,2018-08-01,3533.0,3552.0,3415.8,3423.2,27936,-0.025451232705118742
375,2018-08-02,3415.0,3423.0,3297.6,3345.0,27927,-0.022844122458518294
376,2018-08-03,3350.0,3359.2,3283.6,3283.6,23353,-0.018355754857997036
377,2018-08-06,3292.2,3329.0,3240.0,3259.8,25333,-0.007248142282860193
378,2018-08-07,3284.6,3364.0,3259.6,3358.8,27321,0.03036996134732192
379,2018-08-08,3354.8,3354.8,3285.8,3304.8,23380,-0.01607717041800643
380,2018-08-09,3295.8,3409.4,3288.6,3386.0,27848,0.024570321955942814
381,2018-08-10,3389.8,3416.6,3368.8,3397.0,21525,0.0032486709982279976
382,2018-08-13,3365.0,3401.6,3321.6,3382.2,24384,-0.004356785398881419
383,2018-08-14,3385.8,3390.0,3344.4,3369.6,22897,-0.003725385843533768
384,2018-08-15,3366.6,3369.2,3277.4,3284.4,20543,-0.02528490028490023
385,2018-08-16,3247.2,3325.0,3225.6,3271.4,17613,-0.003958104981122884
386,2018-08-17,3287.2,3294.6,3190.0,3202.2,27285,-0.02115302317050812
387,2018-08-20,3213.4,3256.2,3199.2,3251.0,30369,0.01523952282805577
388,2018-08-21,3257.0,3330.0,3251.0,3301.0,30229,0.015379883112888341
389,2018-08-22,3301.4,3306.0,3280.2,3300.2,22702,-0.00024235080278708934
390,2018-08-23,3305.0,3333.6,3261.6,3302.2,32451,0.0006060238773407672
391,2018-08-24,3292.0,3346.2,3273.0,3309.8,29788,0.0023014959723821585
392,2018-08-27,3330.0,3399.6,3327.0,3397.8,27584,0.02658770922714363
393,2018-08-28,3403.2,3413.0,3379.2,3387.0,21742,-0.003178527282359227
394,2018-08-29,3382.0,3388.8,3366.0,3379.8,19949,-0.0021257750221434363
395,2018-08-30,3381.2,3394.6,3336.0,3343.0,23152,-0.010888218237765602
396,2018-08-31,3325.0,3353.0,3297.0,3321.2,28015,-0.006521088842357218
397,2018-09-03,3310.2,3319.8,3276.0,3310.4,24832,-0.0032518366855352667
398,2018-09-04,3314.0,3372.8,3298.2,3357.2,29100,0.014137264378926935
399,2018-09-05,3344.6,3348.0,3277.8,3277.8,27755,-0.02365066126534006
400,2018-09-06,3275.2,3307.2,3241.4,3248.6,27959,-0.008908414180242928
401,2018-09-07,3267.0,3316.4,3237.0,3273.2,30881,0.007572492766114606
402,2018-09-10,3267.8,3274.4,3220.0,3227.0,24926,-0.014114627887082922
403,2018-09-11,3228.6,3247.4,3203.2,3219.0,26259,-0.002479082739386427
